total_output_power,pa1,pa2,pa3
694.15,224.61,227.08,227.08
696.3,225.32,227.28,226.24
696.62,225.32,228.49,226.95
693.48,224.89,226.84,224.5
693.24,224.66,226.91,224.85
692.22,225.18,225.21,226.71
691.02,224.83,226.14,224.49
695.45,225.13,227.02,227.08
694.84,225.29,226.66,226.68
694.12,225.1,226.59,227.52
694.71,224.47,227.09,227.52
693.91,224.43,227.17,225.79
691.69,224.34,227.19,224.55
693.56,225.8,225.52,225.66
691.8,225.27,224.97,226.04
693.32,224.06,226.87,226.4
694.37,224.93,226.88,226.97
694.76,224.5,226.86,226.91
695.29,224.85,226.83,227.68
693.54,225.59,226.52,227.13
694.04,225.51,227.31,225.78
691.09,224.21,226.63,224.57
693.5,225,227.8,224.93
693.43,225.13,226.66,224.91
692.37,224.63,226.33,225.66
692.65,224.75,225.85,224.63
692.83,225.3,226.18,224.73
692.25,224.96,225.74,224.79
692.03,225.11,225.85,224.71
691.87,225.63,225.64,224.61
690.9,224.47,225.53,224.81
690.79,223.82,226.18,224.64
693.83,225,226.19,224.46
693.04,225.04,227.48,224.53
695.29,225.62,227.76,224.69
693.44,224.44,227.18,225.24
694.63,224.57,227.08,226.73
694.54,224.63,227.45,225.01
694.61,225.61,227.69,226.06
694.98,225.21,227.4,225.96
693.01,225.4,227.81,224.25
695.78,224.23,227.52,225.86
694.36,225.02,227.41,225.19
694.03,225.19,227.3,225.26
693.04,224.77,226.9,224.56
694.39,225.24,227.16,224.44
695.16,224.47,227.04,227.19
695.96,225.28,227.09,227.35
696.56,225.23,227.09,227.39
693.77,224.91,227.31,224.94
693.74,224.52,227.98,225.43
691.78,224.51,227.46,224.84
692.1,224.69,227.94,224.66
690.05,224.26,226.24,224.59
692.08,225.62,225.51,224.54
690.27,223.83,225.27,225.1
691.18,224.99,225.33,225.19
690.25,224.33,225.91,224.38
691.22,224.92,226.25,224.67
692.05,223.68,226.04,225.18
692.45,223.92,225.42,225.04
694.56,225.18,227.68,225.04
692.8,224.55,226.12,224.79
692.41,224.8,226.02,224.6
693.05,225.3,225.87,224.59
696.89,224.56,227.12,226.76
695.29,225.78,227.36,225.12
694.1,225.14,227.33,224.77
694.15,225.62,226.03,224.73
693.03,225.08,225.83,224.59
693.1,224.6,226.14,224.61
695.07,225.38,226.39,224.22
693.42,224.84,226.22,225.32
692.13,223.91,226.29,224.6
693.51,225.03,226.56,225.2
695.32,224.82,226.66,226.05
693.78,224.82,226.89,225.44
692.17,224.82,226.44,225.01
693.25,225.45,226.55,225.16
695.52,225.63,226.5,225.19
693.54,225.51,225.64,224.55
693.91,225.24,226.11,224.66
692.78,224.4,226.79,225.2
693.2,225.13,227.44,225.41
694.65,225.16,227.08,226.45
694.19,225.53,226.82,225.65
693.25,224.72,226.73,224.89
695.36,225.03,226.96,225.5
691.9,224.5,226.04,225.65
692.87,224.39,226.9,225.41
692.13,224.6,226.67,225.84
691.04,224.44,226.77,225.15
694.9,225.96,226.76,224.35
695.33,225.89,226.98,224.75
692.23,225.52,225.38,224.84
693.02,224.12,226.28,225.2
693.78,225.55,226.55,225.4
695.67,225.19,226.57,225.01
695.7,224.96,226.53,225.19
696.01,225.33,226.51,225.37
694.54,224.87,226.3,224.75
694.2,224.44,225.98,224.62
694.05,224.56,226.15,225.2
694.98,224.98,226.69,225.17
695.07,224.91,226.99,225.44
695.02,224.93,226.88,225.65
693.63,223.89,225.84,225.23
695.31,225.09,226.68,225.3
696.63,225.46,227.05,226.42
696.53,224.37,226.63,225.99
696.01,226.17,226.37,224.68
695.39,226.49,226.45,224.93
695,225.11,227.09,225.41
693.13,224.57,226.42,225.46
693.97,224.81,226.2,224.69
694.2,225.09,226.09,225.66
694.08,224.39,226.99,225.01
693.52,225.13,226.15,224.95
694.29,224.92,226.72,225.06
695.42,224.72,226.59,225.86
696.68,225.04,226.18,225.04
696.16,225.82,226.32,225.25
696.71,225.87,226.42,225.58
696.48,224.77,226.88,225.04
696.12,223.83,226.99,225.23
695.12,224.09,226.66,225.12
695.48,225.79,226.13,224.6
695.33,224.57,226.67,225.83
