total_output_power,pa1,pa2,pa3
1414.57,247.38,249.85,250.06
1415.38,247.61,249.01,249.77
1417.45,249.85,249.53,249.68
1415.9,248.91,249.5,248.53
1415.71,248.43,249.92,247.87
1415.12,248.67,249.37,249.38
1418.54,249.2,249.41,249.02
1414.28,248.82,248.37,249.41
1414.6,249.31,249.12,249.28
1415.79,248.65,249.46,249.67
1417.33,249.14,249.63,248.84
1414.95,248.87,248.93,249.6
1415.24,248.65,249.7,249.86
1416.34,248.53,249.33,248.74
1415.11,248.45,248.75,249.07
1416.84,248.89,249.46,249.67
1416.11,248.92,249.45,249.4
1415.74,249.04,249.35,249.09
1413.11,249,249.57,248.97
1418.29,248.21,249.27,249.49
1414,248.56,249.41,248.71
1416.6,249.29,249.74,249.85
1414.99,248.41,249.79,249.1
1410.52,248.32,249.48,249.29
1413.26,247.6,249.48,249.39
1415.21,248.59,249.97,249.49
1413.23,248.4,249.02,249.56
1414.49,247.88,249.45,249.81
1417.16,249.82,250.33,249.77
1417.16,249.22,249.42,249.99
1417.71,248.51,249.34,249.86
1417.33,249.03,249.95,249.3
1417.15,249.55,249.78,249.91
1415.11,248.58,249.32,248.89
1416.03,248.48,249.17,249.94
1415.46,248.81,249.09,249.23
1415.21,249.13,249.11,249.34
1416.96,248.77,249.82,249.71
1415.67,248.83,250.06,248.98
1415.95,248.75,249.7,249.22
1416.7,249.31,249.94,248.5
1416.31,249.37,250.01,248.98
1413.06,245.86,249.75,249.77
1412.79,245.35,249.94,249.91
1413.96,245.71,250.05,249.51
1412.59,246.83,249.23,248.07
1417.38,249.29,249.74,249.99
1414.91,249.21,249.65,249.5
1415.78,249.34,249.57,249.64
1414.44,247.95,249.12,249.04
1414.55,248.43,249.34,249.63
1418.58,249.58,249.6,249.6
1418.1,249.37,250.01,249.19
1413.76,248.39,249.49,248.79
1414,248.55,249.47,248.89
1416.66,249.12,249.57,249.54
1413.57,248.59,249.7,249.32
1413.95,248.65,249.89,249.53
1412.82,248.97,250.13,248.63
1415.21,249.12,250.13,248.97
1417.83,249.49,249.38,249.58
1415.11,249.1,248.62,249.75
1417.14,248.63,249.32,249.66
1418.53,248.43,249.73,249.23
1414.58,249,249.99,249.33
1414.9,248.77,250.37,249.58
1415.86,248.96,250.26,249.02
1416.47,248.83,248.88,249.91
1415.8,249.79,249.19,249.39
1415.79,248.84,249.39,249.53
1415.81,249.22,250.19,249.73
1417.71,248.29,249.94,248.83
1416.59,248.89,250.29,248.98
1415.82,248.65,249.89,248.69
1416.13,248.83,250.49,249.28
1414.78,249.06,249.58,249.12
1412.34,248.65,249.71,248.47
1413.81,248.52,249.93,248.85
1414.43,248.46,249.46,249.96
1413.92,248.6,248.73,249.35
1411.65,248.53,249.26,248.83
1416.38,249.11,249.44,249.68
1417.64,249.63,249.49,250.37
1416.67,249,249.41,250.13
1415.79,248.97,249.55,249.4
1413.12,249.52,249.86,249.41
1414.39,249.01,249.57,249.43
1415.11,247.88,249.85,249.24
1414.71,246.74,250.37,249.86
1416.19,246.74,249.83,249.32
1416.49,246.24,250.69,248.86
1412.56,245.71,250.18,249.27
1417.05,247.49,249.94,248.91
1415.07,249.13,250.01,248.66
1418.6,248.65,250.35,250.39
1417.01,248.61,250.25,249.46
1417.24,249.04,249.99,249.94
1415.11,249,250.21,249.15
1416.48,248.62,250.76,249.61
1415.77,247.84,249.7,249.03
1413.91,248.31,249.37,249.33
1416.74,248.07,249.31,248.81
1417.45,248.13,249.22,249.32
1417.95,249.12,249.25,249.39
1417.7,249.58,250.15,249.03
1415.37,248.43,249.22,248.91
1416.95,248.59,249.22,249.36
1417.16,248.91,248.92,249.12
1415.78,248.56,249.16,248.97
1414.43,249,248.89,248.67
1413.77,248.77,248.08,248.93
1417.85,248.49,249.51,249.61
1417.95,248.33,248.71,249.39
1416.33,248.65,247.84,248.67
1414.29,247.61,248.26,248
1415.98,248.19,249.94,249.22
1416.48,248.76,248.98,249.57
1418.54,248.71,249.22,249.7
1416.36,248.77,249.36,249.91
1415.64,248.77,248.63,249.71
1414,248.29,248.9,248.99
1415.67,248.75,249.37,249.58
1413.85,248.31,249.12,249.7
1412.56,248.92,248.42,249.34
1417.67,248.72,248.7,249.7
1417.14,249.07,249.29,249.85
1412.99,249.3,249.27,248.59
1412.54,249.49,249.24,249.9
1411.2,249.01,249.13,249.7
1413.23,248.84,248.41,248.91
1413.91,249.29,249.03,248.94
1411.86,248.89,248.74,249.15
1414.58,248.53,248.98,248.92
1415.94,248.89,248.98,249.33
1415.3,248.96,248.94,249.17
1417.37,249.04,249.26,249.68
1415.79,248.43,248.91,249.48
1416,248.4,248.74,250.18
1412.86,249.07,248.77,249.34
1413.58,248.22,248.47,249.22
1412.56,248.64,248.7,249.58
1416.46,248.41,249.46,249.7
1415.12,249.25,248.91,249.65
1415.79,248.77,249.25,249.39
1413.16,248.51,249.46,249.22
1416.38,247.87,248.55,249.82
1416.48,248.71,248.65,249.42
1415.1,249.24,249.06,248.84
1416.01,248.75,249.31,249.64
1421.8,248.92,248.89,249.58
1418.38,249.19,248.81,250.13
1415.9,249.55,249.39,250.11
1415.79,249.1,248.93,249.07
1416.47,248.99,249.02,249.63
1414.44,247.98,249.71,249.8
1417.16,248.62,249.21,249.63
1413.76,248.94,249.83,249.06
1416.48,248.23,249.7,249.22
1413.7,248.78,249.33,248.74
1413.22,249.02,249.23,249.22
1415.45,248.77,249.27,249.77
1416.45,248.61,249.49,249.85
1417.02,248.46,249.37,249.86
1419.62,249.44,249.49,249.67
