total_output_power,pa1,pa2,pa3
951.29,298.23,339.88,339.11
952.42,296.75,339.08,340.97
951.67,297.3,339.82,341.54
952.69,297.72,338.71,341.02
952.77,298.29,340.41,340.71
954.57,297.01,341.17,341.35
956.53,297.24,339.77,341.96
951.68,297.58,338.28,341.34
952.93,295.65,338.96,340.55
953.45,295.95,339.58,341.66
949.44,295.62,339.14,338.29
954.48,296.37,340.2,341.06
958.71,298.2,340.4,341.62
954.21,299.46,340.24,340.11
952.31,296.54,340.26,342.13
954.64,295.16,339.38,341.03
955.86,297.52,339.11,341.35
954.64,300.03,339.99,340.05
953.13,298.41,339.99,339.15
953.95,296.47,339.86,340.34
952.65,298.24,339.61,338.67
954.81,296.57,340.01,340.5
954.73,297.04,340.8,340.36
953.18,297.85,339.31,341.16
953.06,297.06,339.25,341.51
954.41,296.15,339.81,340.83
952.9,297.41,339.61,338.99
953.21,296.9,339.61,338.51
953.69,296.6,339.61,338.39
956.66,297.42,340.66,338.95
956.75,299.08,339.99,340.27
956.75,297.45,341.27,340.54
955.85,297.74,339.14,339.29
955.64,297.56,339.86,339.53
954.45,297.79,340.41,338.67
954.84,296.73,341.05,339.02
953.02,297.95,339.9,339.45
952.76,296.73,339.75,339.66
953.25,296.35,338.38,341.35
958.09,297.21,338.68,341.5
950.58,297.47,339.51,337.82
956.39,295.9,338.94,341.32
952.97,296.59,339.15,338.68
954.78,296.43,338.8,338.2
956.72,298.16,340.61,340.98
958.5,299.54,340.97,340.31
956.4,299.74,338.66,341.41
955.34,299.25,339.89,340.98
956.15,297.15,338.6,340.89
955.82,297.56,340.18,341.01
956.27,299.18,339.16,340.56
958.51,300.03,341.01,341.33
960.59,299.15,341.08,342.08
959.57,298.6,341.21,341.38
955.97,299.75,340.25,341.26
957,298.88,339.77,341.51
960.07,298.45,341.05,341.91
958.11,299.67,339.27,341.34
953.67,299.97,339.75,340.47
952.13,298.23,339.67,339.78
954.94,295.27,340.24,340.85
952.81,296.11,339.63,338.2
955.87,296.47,340.41,339.94
952.92,297.47,339.48,338.99
953.18,296.06,338.67,340.79
954.44,297.35,341.54,340.06
956.51,297.63,341.18,338.84
951.22,297.31,339.42,336.45
955.4,296.22,339.39,340.56
954.91,296.83,339.79,341.31
953.24,296.42,339.82,339.42
954.42,296.58,339.91,338.76
955.26,296.09,339,340.86
955.4,297.93,339.93,340.07
955.82,297.33,340.22,339.31
959.1,296.88,340.12,339.68
955.9,298.03,339.26,339.45
953.96,297.39,338.9,341.56
957.63,296.23,340.35,341.3
953.86,296.92,339.54,338.8
953.37,295.9,339.52,338.95
954.68,296.77,339.09,340.38
954.04,296.77,339.72,340.2
953.87,296.19,339.85,339.5
954.95,297.11,340.29,339.19
955.02,297.16,340.39,339
955.1,296.59,339.61,339.34
957.23,296.38,339.72,340.6
954.66,298.04,339.67,339.57
954.15,296.48,339.96,339.27
950.96,297.02,339.34,337.59
954.34,295.51,340.49,338.7
952.71,296.81,339.28,338.96
951.32,296.72,337.86,339.26
951.74,297.06,339.34,338.96
951.25,296.87,338.92,340.52
958.12,294.75,340.27,340.91
955.41,298.71,339.14,341.51
952.34,296.61,339.8,338.9
954.2,296.76,340.15,340.35
954,296.5,339.06,340.62
954,296.53,339.84,338.33
955.33,297.58,339.94,341.02
955.13,297.13,339.85,339.89
957.45,297.19,340.57,340.45
957.08,297.29,339.89,338.94
954.18,296.62,339.49,339.57
954.07,296.65,339.26,338.61
957.63,296.2,339.5,341.34
954.14,298.9,340.24,339.5
955.03,296.34,340.67,341.3
956.05,296.54,339.19,339.61
951.07,296.56,339.03,337.17
955.13,295.62,339.46,338.01
956.79,297.4,338.86,340.99
957.61,299.1,339.97,340.23
960.89,297.85,339.76,341.98
960.83,299.5,340.67,341.78
953.14,299.1,339.4,339.44
951.88,296.35,340.41,338.45
951.93,296.31,340.27,337.45
953.69,295.9,338.38,339.77
957.91,299.44,339.08,341.7
957.54,298.88,340.14,341.61
953.12,296.58,338.95,341.51
954.06,296.32,338.96,340.8
954.99,295.89,340.41,340.31
954.54,297.9,340.25,339.48
952.94,297.16,340.36,338.9
954.27,297.23,340.58,338.19
952.8,297.91,339.31,340.45
953.26,296.5,339.47,340.32
953.68,297.31,339.95,338.53
953.06,296.75,338.97,337.79
958.05,297.44,340.29,341.69
956.08,299.38,339.31,342.03
952.93,297.11,338.99,339.09
953.25,296.05,339.3,340.75
957.24,297.2,339.55,341.67
954.92,298.6,339.45,341.67
953.53,296.4,339.14,341.19
953.12,297.93,340.22,338.55
953.2,297.22,338.83,339.55
951.51,297.03,339.31,341.03
955.86,296.05,340.26,339.79
953.22,296.32,339.95,338.57
954.1,296.32,339.95,338.65
954.69,296.5,340.26,341.46
952.99,295.76,339.88,338.77
952.38,295.81,339.06,337.35
957.34,297.51,340.44,341.9
956.39,299.6,338.5,339.92
956.75,298.34,338.66,340.34
957.64,298.83,339.81,341.51
954.01,299.46,339.3,340.86
955.02,296.39,340.89,339.63
959.89,298.49,340.56,341.48
955.85,298.86,341.3,341.38
955.98,299.66,339.89,341.79
956.8,297.25,340.36,341.56
956.58,297.53,339.94,341.03
956.15,298.47,339.72,341.68
951.99,297.85,339,340.72
955.53,295.86,338.61,339.79
958.51,298.87,340.33,341.34
958.4,299.46,340.36,341.33
951.86,299.47,339.34,340.71
950.57,297.12,338.38,338.22
954.65,297.35,338.17,340.66
955.54,299.54,338.67,341.47
952.53,299.35,339.95,339.74
952.95,296.43,340.11,339.92
951.92,296.75,338.04,337.35
954.86,298.2,339.94,341.35
953.72,298.22,338.98,339.28
957.65,298.53,339.09,340.65
951.7,298.59,339.18,340.72
953.67,297.74,339.84,341.36
950.62,296.67,339.64,340.11
946.65,296.76,340.41,336.66
950.66,295.1,340.8,337.25
956.37,299.75,341.65,339.62
957.36,299.6,339.62,341.16
951.39,299.69,340.42,338.51
952.78,296.38,338.38,339.85
954.99,298.42,341.28,340.8
954.55,299.05,340.41,340.92
956.34,298.61,340.48,341.18
955.48,298.95,338.91,341.65
955.4,299.6,340.09,340.55
957.17,298.29,341.05,341.51
957.61,299.17,338.92,341.09
955.47,300.04,339.27,340.91
955.11,299.6,341.14,341.69
954.64,298.41,338.61,342.14
952.67,296.61,338.08,341.26
956.79,299.17,339.42,341.1
954.09,299.31,339.28,342.14
952.21,298.5,337.53,341.5
954.14,298.03,339.68,341.54
952.31,298.12,340.24,339.04
951.05,296.33,339.31,338.52
950.68,296.63,339.34,338.23
953.76,296.62,338.96,339.28
956.38,297.51,340.42,341.25
949.18,298.75,339.9,337.7
954.74,296.08,340.1,340.12
956.31,299.06,340.4,340.74
955.15,299.91,340.53,340.71
956.6,298.87,341.04,340.9
953.02,298.85,340.2,339.66
955.74,296.29,340.24,339.98
954.9,299.17,340.2,341.04
954.12,296.99,339.62,342.3
954.92,296.33,340.11,340.57
954.6,298.67,339.84,340.56
956.93,299.33,339.85,341.62
953.87,299.26,339.93,341.89
952.63,296.62,339.22,341.27
953.5,295.54,339.94,339.1
949.72,296.61,339.31,337.85
953.63,296.56,340.7,339.91
956.16,297.09,339.31,341.48
951.99,296.66,338.57,341.35
953.63,297.49,339.31,341.03
954.09,296.73,339.91,340.95
953.37,296.6,340.12,339.43
953.28,297.42,340.53,339.22
952.27,297.24,339.16,339.37
950.73,298.12,341.04,339.51
954.15,297.29,340.73,339.16
952.32,297.88,340.09,339.74
955.9,297.02,340.69,338.58
954.91,298.32,340.1,339.28
953.74,297.69,340.12,339.98
956.79,296.81,340.57,341.68
957.2,299.46,340.41,340.9
954.13,299.59,340.41,338.46
956.23,297.78,340.25,341.63
954.19,298.1,340.25,339.74
952.84,297.48,339.77,338.49
953.79,296.9,339.54,340.13
953.88,297.04,340.01,340.58
954.11,296.71,340.2,339.63
951.42,298.2,339.15,339.9
954.92,297.06,340.1,339.79
951.01,296.93,339.34,338.72
953.68,296.9,340.07,339.63
955.36,297.76,339.83,339.34
952.48,296.92,339.24,340.13
954.68,296.16,339.3,340.43
957.48,296.6,340.59,340.55
956.74,299.75,339.27,341.01
955.73,299.45,339.86,339.54
953.87,296.82,339.84,339.93
956.21,296.49,339.73,340.31
954.87,297.95,340.45,339.22
950.75,297.88,338.36,338.48
950.12,297.45,337.23,339.03
951.91,298.12,339.49,341.99
952.72,297.18,338.47,340.4
955.35,297.91,339.77,341.11
955.72,297.49,340.08,339.85
953.63,297.61,339.46,341.48
948.77,296.64,338.97,338.27
952.57,296,340.03,339.21
953.33,297.58,339.94,340.76
954.17,298.2,340.26,340.5
953.16,298.03,340.1,339.07
954.79,296.87,338.97,339.92
951.02,297.42,339.18,338.38
951.05,296.19,339.31,338.86
953.73,297.77,339.78,338.87
953.4,296.75,339.78,340.6
951.97,296.18,339.57,338.07
953.86,296.18,340.41,340.1
952.56,296.39,340.25,340.15
954.55,296.48,339.08,341.41
956.15,295.81,338.72,341.77
954.64,296.76,340.25,341.51
953.69,295.72,340.57,341.32
951.88,295.28,339.76,341.24
952.81,295.24,339.32,341.03
952.04,296.31,339.79,339.12
950.82,296.39,338.67,340.25
951.82,295.4,339.78,338.84
951.64,296.66,338.18,340.35
955.27,295.62,341.03,339.92
954.99,297.34,340.49,340.56
953.94,295.64,339.84,340.92
950.82,297.09,340.09,337.89
955.41,296.04,340.15,340.74
952.68,297.67,339.51,339.58
952.3,296.9,338.87,338.26
952.38,298.43,338.38,341.19
954.87,295.78,339.37,341.6
954.94,298.92,340.14,340.4
954.36,297.89,340.3,340
953.06,296.61,340.94,341.13
951.64,296.68,339.58,340.94
953.42,296.48,339.47,341.11
953.36,296.62,338.89,340.81
955.86,296.19,340.68,341.6
949.83,297.38,339.49,340.81
954.18,295.87,341.24,341.65
952.83,298.07,340.54,340.74
950.61,296.76,338.71,338.82
952.67,296.18,339.59,340.97
949.19,297.19,340.9,338.61
955.44,295.29,339.72,341.05
950.48,296.65,340.64,338.68
952.81,296.32,339.47,339.18
952.42,297.75,339.31,339.14
953.1,297.16,340.4,338.99
953.37,297.82,339.75,339.88
953.11,298.01,339.87,339.89
954.52,298.84,340.25,340.72
955.85,297.46,341.37,340.71
954.89,298.6,341.06,340.29
955.13,297.98,340.54,339.31
954.52,297.68,341.24,340.05
954.93,298.23,339.77,340.32
952.39,297.48,340.25,340.26
953.48,298.06,340.37,339.15
952.66,298.59,338.8,341.06
953.38,298.35,339.83,340.82
957.43,295.95,340.25,341.03
954.43,298.08,339.45,340.19
951.91,298.33,339.93,339.01
950.57,296.75,339.47,340.22
954.58,297.34,339.21,340.21
952.14,296.55,338.73,340.85
954.49,295.71,340.3,340.95
954.19,297.52,340.36,338.84
947.27,297.59,339.7,336.26
956.55,294.39,340.9,338.69
952.76,299.32,339.37,341.61
954.45,296.19,339.28,341.55
953.64,296.37,340.45,340
950.63,297.02,339.41,338.2
952.35,296.49,339.79,338.85
953.59,296.9,339.43,339.77
954.15,296.75,339.93,340.27
953.03,297.7,339.61,338.98
951.78,296.72,339.52,338.98
952.11,296.2,340.28,339.01
952.35,296.84,340.25,339.5
951.39,296.75,339.52,338.38
948.6,296.85,338.67,337.21
956.9,295.32,340.06,340.96
953.14,297.93,340.1,339.28
952.49,296.31,340.9,340.56
953.7,296.68,338.7,341.67
956.15,296.89,338.63,341.35
956.34,298.7,341.25,340.71
951.7,297.14,339.78,340.25
952.07,296.37,339.47,338.75
953.28,297.17,340.5,340.14
955.51,296.22,340.25,341.22
954.17,298.25,340.35,338.57
950.49,297.16,340,338.38
950.27,296.56,338.65,337.64
949.75,296.42,339.11,338.06
952.8,297.96,339.17,340.41
952.3,299.32,340.11,339.73
949.88,296.87,339.79,337.55
951.42,296.21,339.31,341.2
952.68,295.5,338.67,340.79
956.19,296.32,340.26,338.88
953.89,298.16,339.8,339.3
950.67,297.03,339.49,338.81
952.68,296.86,338.14,340.7
955.41,296.85,340.63,340.17
952.9,296.87,339.65,340.33
952.35,295.73,340.04,338.95
953.19,296.48,339.48,341.04
956.3,297.33,340.58,341.19
952.56,298.55,339.06,338.4
957.1,296.86,340.3,340.27
958.81,298.55,340.41,341.08
954.26,299.44,339.85,341.51
954.38,296.69,339.86,339.31
952.95,296.81,340.03,339.31
952.32,296.87,339.51,338.52
956.71,297.21,340.94,339.89
952.4,296.07,338.57,338.61
958.13,297.07,339.03,341.19
952.8,299.04,340.1,339.82
954.44,296.49,338.76,339.52
957.88,298.37,339.74,341.5
957.12,299.71,340.33,341.18
954.99,299.06,340.8,341.57
954.99,297.97,339.22,340.24
955.44,297.19,341.22,339.91
957.06,297.45,336.99,341.56
957.16,298.7,340.41,341.66
955.23,299.75,339.28,341.5
950.96,298.21,338.04,341
956.81,296.23,341.04,340.73
955.39,299.34,340.43,341.24
952.22,297.84,339.33,338.58
951.27,296.98,339.73,338.22
951.58,296.47,340.64,339.18
954.49,296.32,340.1,339.65
951.26,297.19,338.68,338.9
951.37,295.46,339.52,340.5
952.64,296.61,339.76,339.92
953.69,297.01,339.59,341.06
952.34,297.66,339.96,339.67
954.14,296.93,339.93,339.35
952.86,297.45,339.81,338.4
954.98,297.06,339.12,338.53
956.62,298.65,341.02,340.41
956.15,299.88,341.05,340.6
955.74,298.57,340.91,340.85
955.9,298.51,340.63,340.5
953.9,298.46,339.34,340.8
954.73,298.18,340.73,341.4
952.09,295.05,338.94,341.3
955.08,296.49,340.18,341.83
952.92,298.45,339.63,340.74
954.08,295.33,340.39,342.61
955.03,296.33,340.24,340.28
953.7,297.87,340.57,339.05
955.8,297.31,340.73,339.34
956.18,297.74,340.57,340.37
952.92,298.21,339.14,340.4
956.34,298.14,341.05,340.72
955.16,298.61,340.25,341.35
954.96,297.31,340.05,340.38
953.87,297.45,339.72,338.76
952.8,297.08,339.53,338.64
950.58,296.21,338.99,337.9
953.66,295.33,339.96,339.29
955.89,297.18,340.08,340.14
952.07,297.38,338.94,338.24
956.73,295.66,339.97,340.11
956.89,297.99,340.32,341.6
959.43,299.07,340.98,341.59
953.35,298.89,340.03,338.97
951.51,296.84,339.99,337.97
952.8,296.75,340.63,338.77
956.38,297.15,340.08,340.78
954.1,297.9,339.75,339.75
954.95,297.02,340.4,339.17
955.82,296.88,340.52,340.52
956.22,298.02,339.06,340.68
955.05,296.74,340.6,339.73
956.19,298.03,340.54,338.99
956.61,298.76,339.81,341.23
953.65,297.08,339.79,340.08
955,295.97,338.85,340.92
953.53,297,341.06,338.87
952.26,296.91,341.09,337.79
951.05,296.12,340.04,338.06
954.65,296.69,339.66,339.81
954.13,295.91,339.94,338.67
953.56,297.02,339.07,338.99
958.89,296.97,340.46,340.5
955.82,299.6,340.73,340.02
957.34,298.3,340.12,341.09
954.74,299.44,339.27,341.43
952.58,295.87,340.09,339.24
952.2,297.77,340.36,339.21
956.06,297.43,340.46,339.57
957.44,297.01,340.73,340.11
952.26,298.65,340.25,339.66
951.88,297.68,339.62,342.46
954.53,296.19,340.57,340.44
955.36,297.44,338.65,340.1
959.37,297.6,340.62,341.21
955.77,299.13,339.47,341.28
957.99,296.98,341.07,341.19
955.03,298.87,339.7,340.29
955.44,296.9,340.25,339.45
955.44,297.73,340.57,339.86
953.57,297.38,339.9,338.54
954.14,297.48,339.99,339.02
956.85,297.77,340.54,339.98
955.4,297.77,340.1,339.02
955.54,296.9,340.4,338.7
954.03,295.82,340.45,340.61
950.66,296.76,338.61,338.48
954.58,296.01,339.93,339.08
954.81,296.42,340.01,339.65
954.66,296.9,339.98,339.12
957.14,297.92,339.9,341.11
954.33,296.85,340.03,339.24
954.77,297.06,339.38,341.02
954.99,296.48,339.45,340.4
954.99,296.78,340.26,338.98
954.1,297.18,339.2,338.71
953.73,296.83,339.59,338.54
952.03,296.43,339.47,339.33
955.61,296.62,339.09,339.2
953.44,299.19,339.21,339.48
950.76,296.45,339.31,338.85
956.17,296.4,339.94,340.26
951.46,296.39,339.38,338.9
951.56,296.9,338.7,337.97
954.1,297.6,339.85,341.07
952.3,296.23,338.52,340.11
954.14,296.72,340.92,341.51
953.69,296.16,340.06,340.73
951.82,297.31,340.18,338.18
953.2,296.22,339.69,339.64
953.21,296.37,340.57,339.52
954.1,296.05,339.77,340.51
955,294.55,339.39,340.14
957.08,297.93,339.47,341.06
952.35,299,339.31,341.36
952.07,296.19,339.31,338.86
955.45,296.77,340.3,339.86
954.46,298.25,340.07,338.65
954.51,297.45,338.99,339.75
954.58,296.75,340.1,341.82
955.91,296.42,340.3,341.47
956.34,297.16,341.34,340.47
954.29,297.93,339.63,340.51
954.14,298.71,338.67,340.2
956.74,297.74,340.48,341.18
954.67,298.14,340.25,339.92
955.59,297.34,340.32,339.95
956.04,297.74,340.7,339.7
954.81,297.1,340.17,341.81
955.93,296.2,340.92,340.24
952.37,296.9,339,338.39
953.61,296.9,339.75,339.34
952.55,296.47,339.43,338.22
952.52,296.3,338.9,340.48
954.1,295.65,340.03,339.63
954.31,297.17,340.4,340.28
952.92,296.9,340.04,339.13
953.15,296.41,339.94,338.79
953.79,297.18,339.24,339.53
954.04,297.25,339.69,339.75
954.2,297.19,340.09,339.34
957.17,297.36,339.79,337.43
958.49,299.31,341.05,341.16
954.31,299.12,340.44,340.07
954.59,297.46,339.63,341.32
954.25,297.82,339.67,339.62
953.62,297.49,338.41,339.87
953.66,299.24,340.25,340.02
949.83,296.76,339.24,338.67
951.1,296.1,339.51,339.07
954.27,296,340.39,339.82
949.79,296.91,338.35,337.27
954.1,297.23,340.58,338.54
952.8,297.19,339.63,340.4
952.06,297.19,338.92,338.6
952.08,296.04,339.54,340.63
954.1,296.53,339.93,339.11
952.7,297.64,339.46,339.16
951.5,297.75,338.54,338.3
953.02,295.68,339.15,341.53
951.46,295.84,338.9,341.22
955.48,296.4,339.4,341.63
951.96,298.16,339.27,341.35
955,296.06,339.81,341.35
955.42,296.78,339.16,341.35
951.95,299.74,339.78,339.81
953.05,297.34,340.79,338.27
954.63,297.89,339.9,340.25
955.71,299.14,339.94,341
955.41,297.24,340.58,340.58
952.35,297.5,339.18,340.08
954.58,298.37,339.76,341.83
950.68,297.34,338.52,338.18
952.76,296.66,339.42,339.14
955.52,297.85,340.63,341.65
952.73,299.6,338.69,340.4
958.02,296.16,341.47,341.22
953.46,298.84,340.96,340.97
951.83,298.88,339.78,341.5
952.51,295.72,339.94,339.65
951.7,296.46,339.21,339.42
952.62,295.96,339.96,339.16
951.07,296.26,340.07,339.15
952.97,296.13,340.07,339.01
951.02,296.34,339.47,339.13
952.03,295.64,339.36,340.32
955.78,296.99,340.68,341.02
950.6,298.56,338.2,341.99
956.71,295.33,341.69,339.82
957.55,298.01,339.88,341.31
958.64,298.66,338.91,341.19
953.88,299.63,339.8,340.87
957.78,296.86,340.74,341.18
951.6,299.08,338.67,339.2
955.94,296.99,339.31,340.59
953.53,298.72,340.7,339.02
951.62,297.23,339.7,339.87
951.84,295.87,339.74,338.65
953.15,297.42,339.49,339.5
952.8,296.84,339.63,339.81
955.93,296.84,338.49,340.31
953.02,298.79,339.74,339.64
950.19,296.07,336.7,336.81
956.08,297.26,338.82,340.01
954.13,298.88,338.76,339.92
954.69,297.68,339.88,340.46
953.14,297.25,340.39,339.87
957.61,297.45,341.16,340.56
952.77,299.68,339.18,341.47
951.15,295.55,337.61,339.65
954.12,297.56,339.48,339.77
952.37,296.33,340.1,338.7
948.95,296.75,337.63,340.16
954.55,294.28,339.41,341.31
952.36,298.52,339.47,341.54
956.75,296.18,338.66,341.85
956.77,296.96,340.51,340.24
956.28,298.7,340.41,341.25
957.05,298.88,340.68,340.86
955.9,299.6,338.93,341.15
955.83,299.46,339.59,341.32
956.42,300.18,340.85,340.27
954.54,299.17,339.14,340.25
957.17,298.34,341.06,340.68
953.62,298.97,340.55,338.75
955.22,297.17,341.04,340.8
950.02,298.24,339.85,339.53
950.91,294.87,339.95,340.78
951.3,296.16,339.79,341.53
952.02,296.9,339.68,341.02
954.43,295.84,339.61,341.03
955.21,297.97,340.54,341.44
951.13,298.46,338.96,340.57
953.45,295.57,339.35,339.51
957.2,297.84,341.7,341.51
952.41,299.48,339.31,339.02
954.37,298.22,339.94,340.82
955.85,299.04,340.74,340.02
958.1,299.78,340.7,340.77
954.96,298.88,339.99,340.72
954.32,297.65,338.86,341.1
952.32,297.41,339.01,341.61
951.98,296.65,338.82,341.51
955.81,297.15,339.11,340.56
954.07,297.94,339.45,341.2
953.7,296.17,339.17,339.77
953.68,296.33,340.69,338.98
950.29,297.7,339.14,338.45
949.95,296.56,338.69,338.26
951.63,296.15,339.51,339.67
955.07,296.04,339.89,340.53
951.74,298.22,339.86,338.33
952.94,296.99,339.94,339.83
953.53,297.19,340.13,341.06
954.23,296.54,340.86,340.97
952.71,295.72,340.44,340.05
952.37,296.9,339.92,339.63
952.78,297.47,338.55,341.02
954.97,296.04,340.69,339.66
953.3,297.19,340.09,339.31
952.21,297.4,340.09,338.78
953.11,297.51,340,341.75
953.07,297.4,339.71,341.71
956.56,296.44,341.99,339.97
952.32,297.88,339.48,338.75
955,296.45,339.93,340.48
954.02,296.33,340.09,340.42
953.7,296.07,339.92,339.31
953.69,297.19,340.1,339.31
951.07,296.9,339.82,338.88
954.12,296.62,339.12,341.11
953.04,297.64,338.92,341.51
951.98,295.7,338.58,340.31
952.24,295.77,339.24,340.13
951.26,296.04,338.36,340.03
955.24,296.31,339.86,340.96
954.41,299.03,339.51,341.19
952.94,296.67,340.79,339.43
948.19,296.87,338.38,336.92
954.63,295.42,339.99,341.81
957.2,298.72,341.53,341.67
