total_output_power,pa1,pa2,pa3
649.54,211.24,209.89,208.53
650.25,211.06,210.64,208.65
649.57,210.18,210.73,208.48
651.57,210.99,210.98,208.38
648.94,210.75,209.89,208.25
650.16,210.48,210.37,209.1
649.55,209.35,210.25,208.71
650.29,210.32,210.68,209.07
651.14,210.07,210.96,209.81
649.06,210.94,211.09,208.84
650.27,210.57,211.46,208.93
650.88,210.61,211.72,208.93
650.93,210.81,211.47,208.92
650.13,210.38,211.15,208.17
649.86,210.23,211.15,207.99
650.31,210,210.98,208.93
650.33,210.6,211.32,208.28
650.02,210.13,211.15,207.77
650.45,210.82,210.94,209.32
649.53,210.5,210.66,209.37
651.71,211.26,211.73,209.6
650.4,211.26,210.46,209.99
652.81,211.04,210.57,209.3
651.99,210.89,210.54,209.77
649.28,210.56,211.05,207.92
651.36,211.1,211.09,208.92
651.5,210.81,210.82,209.12
651.93,211.24,211.05,209.24
650.24,210.33,210.78,209.62
650.93,210.28,210.82,209.16
651.87,211.33,210.85,208.6
651.07,211.16,210.59,208.37
650.96,210.66,210.93,208.38
651.11,211.16,211.15,209.23
649.65,210.66,211.29,207.82
650.92,210.53,210.66,208.03
651.67,211.2,211.06,207.97
651.35,210.86,211.89,208.16
649.85,210.76,210.83,208.27
651.02,211.26,210.87,208.75
650.69,211.36,210.97,208.8
650.7,210.39,211.46,208.63
651.01,211.24,211.72,208.68
650.87,210.72,211.1,208.15
652.03,211.01,210.9,208.26
651.59,211.46,211.25,208.87
649.75,210.65,211.23,208.43
649.32,210.18,211.47,208.38
651.02,210.77,211.35,208.54
650.43,210.96,210.96,208.93
650.97,210.3,211.14,208.59
650.93,210.94,211.19,208.88
650.93,211.16,210.86,208.54
652.4,211.63,211.3,209.12
651.1,210.94,212.15,209.08
650.23,210.9,210.34,208.36
649.56,210.38,211.06,208.06
649.21,210.17,210.57,207.78
650.74,210.92,211.11,209.1
650.15,210.81,210.82,208.73
651.02,210.61,211.66,209.02
649.83,210.68,211.2,208.13
651.05,210.47,211.12,208.31
649.83,210.24,210.98,208.3
650.8,210.93,211.25,208.82
650.69,210.4,210.85,208.54
650.17,210.18,210.8,208.15
648.33,209.51,211.51,208.44
649.55,209.81,211.87,207.83
649.41,209.71,211.82,208.22
650.56,209.88,210.91,208.2
650.93,209.51,210.47,209.41
650.08,209.94,210.87,209.01
649.56,209.71,211.15,207.79
648.64,209.7,211.46,207.87
648.58,209.83,210.97,208.07
649.4,209.61,211.07,208.36
648.8,209.75,211.05,208.17
649.43,209.97,209.93,207.87
650.33,211.18,211.35,209.41
650.55,210.84,210.95,209.68
651.02,210.78,211.75,209.75
649.25,209.98,211.46,207.77
648.33,209.52,211.35,208.07
648.94,209.56,210.93,208.06
650.05,211.13,211.07,208.69
650.91,211.26,210.86,208.38
651.17,211.25,211.01,208.41
649.83,211.14,210.96,208.24
649.82,210.9,210.79,207.9
651.36,210.85,211.15,207.79
649.52,210.67,210.87,208.74
650.4,210.38,210.26,208.88
652.31,210.68,211.13,209.98
651.04,210.48,210.57,209.02
650.44,210.38,211.33,207.75
651.66,210.58,211.22,209.02
650.22,210.63,210.02,208.93
651.98,210.24,210.79,209.19
650.34,210.56,210.2,208.47
649.22,210.27,210.87,207.68
651.05,210.59,210.21,209.26
651.16,210.68,210.69,209.99
651.9,210.53,210.4,209.85
651.76,210.56,210.68,209.34
651.62,210.66,210.48,209.44
652.11,210.8,211.15,210.08
648.69,210.84,211.54,208.55
649.19,210.25,211.16,208.18
650.65,210.93,210.67,208.18
649.38,210.23,211.53,209.08
648.64,210.28,211.15,208.74
648.63,210.07,211.15,208.54
649.23,210,211.34,207.85
650.29,210.28,211.25,208.8
651.12,209.98,211.33,209.72
650.07,210.89,211.06,208.79
649.52,210.86,211.16,209.31
649.24,210.28,210.86,209.33
647.78,209.93,210.76,208.93
649.68,210.2,211.25,208.54
649.36,209.61,211.37,207.8
648.94,210.22,211.4,208.02
647.94,209.94,211.05,208.41
648.38,210.19,211.45,208.93
648.08,210.57,210.75,209.32
647.77,210.12,210.69,208.56
648.53,209.79,211.58,208.67
649.52,209.81,211.29,209.3
649.82,210.36,211.85,209.5
649.82,210.77,210.95,209.61
650.02,211.36,211.92,209.62
650.49,210.65,211.38,209.53
649.89,210.18,211.04,208.73
650.44,210.47,211.06,209.23
649.57,210.76,211.26,208.5
648.56,210.86,211.06,209.37
650.33,210.5,210.93,209.53
651.15,210.63,211.1,209.49
649.07,210.57,211.11,209.62
649.36,210.67,211.25,209.6
649.52,210.57,211.42,209.09
648.9,210.66,211.11,208.56
649.81,210.76,211.62,208.06
649.51,210.4,211.33,208.05
650.57,210.47,211.19,210.02
646.53,208.56,210.53,208.4
647.14,208.47,211.19,208.56
646.53,208.24,210.96,209.47
648.78,210.15,209.61,209.75
650.31,210.15,209.94,207.21
650.98,210.79,210.94,209.99
651.36,210.96,210.58,210.09
649.55,210.87,210.57,208.54
649.24,210.49,210.31,209.46
650.91,210.74,210.63,209.58
649.8,211.18,211.02,209.25
649.17,210.89,210.8,209.21
649.81,210.58,210.27,209.04
648.79,210.16,210.69,209.52
650.48,211.24,210.71,209.33
650.08,210.83,210.79,209.13
650.44,210.84,210.77,209.8
648.96,211.08,210.31,208.75
650.07,210.07,210.09,209.46
650.47,211.16,210.95,209.3
650.4,210.74,211.11,209.23
650.14,210.69,211.07,209.78
650.98,211.15,211.36,209.66
647.42,207.99,210.76,209.55
648.95,210.23,210.86,209.88
651.05,211.24,211.15,209.8
649.82,209.91,211.55,209.93
647.55,209.31,211.75,209.08
646.74,209.36,210.17,208.27
647.55,209.21,209.3,207.78
646.97,209.81,209.98,207.92
647.38,210.34,209.65,207.3
646.83,210.27,209.2,207.39
646.6,210.18,209.7,207.98
646.23,210.13,210.04,207.86
646.67,210.33,209.75,208.16
646.78,210.58,210.29,208.16
646.83,209.92,209.3,208.25
647.92,210.64,210.23,208.5
648.17,210.78,209.95,208.68
647.97,210.58,210.09,208.34
648.04,210.68,209.9,208.17
648.37,210.68,209.4,209.11
645.92,209.84,209.77,208.44
647.45,209.72,210.13,207.84
645.78,210.29,209.89,208.25
645.76,209.58,210,208.83
646.84,210.2,209.89,207.85
646.8,210.05,210.08,207.83
645.65,210.1,209.22,207.87
646.57,210.78,208.75,207.71
646.27,210.53,209.16,208.03
646.46,210.48,210.17,208.5
644.54,208.99,208.69,207.59
646.39,210.06,209.58,207
646.44,211.04,209.72,208.06
648.7,211.15,210.29,208.86
646.9,209.31,211.15,208.91
648.05,209.72,211.45,209.62
646.84,209.2,211.17,208.89
648.89,211.13,210.96,204.66
647.72,209.47,210.77,208.98
648.63,209.66,211.11,209.5
647.92,209.06,211.21,208.84
646.36,208.79,211.16,208.6
648.49,211.18,210.45,208.56
646.87,210.74,210.29,208.36
647.75,210.68,210.59,209.13
648.06,211.3,210.64,209.13
648.56,210.12,211.26,209.62
647.86,210.76,211.06,209.03
647.58,210.92,210.68,208.56
646.71,210.08,209.35,208.23
645.57,209.98,209.23,208.7
645.33,210.68,209.53,207.88
646.86,210.19,209.89,209.11
647.52,210.67,209.99,209.15
646.57,209.85,209.26,208.83
647.36,210.72,209.85,209.23
646.85,210.09,209.21,209.91
646.64,210.01,209.98,209.43
647.04,210.36,209.54,209.36
647.2,210.34,209.55,208.6
647.4,210.19,209.89,209.61
647.71,210.28,209.79,209.69
648.26,210.55,211.11,209.26
649.76,210.97,211.25,208.75
648.98,210.12,211.55,209.5
648.97,209.58,211.42,208.76
648.06,210.48,211.2,209.25
649.28,210.49,210.75,209.79
648.68,210.46,211.23,209.5
648.91,209.88,210.83,208.96
647.51,209.94,211.63,209.45
647.45,210.13,211.63,210.19
647.12,210.22,211.11,208.41
644.78,208.24,211.23,208.03
645.57,209.84,211.37,207.71
649.33,210.73,211.49,208.96
648.01,211,211.51,208.27
647.79,210.48,210.95,207.78
649.15,210.48,210.81,209.89
646.75,210.48,211.12,208.34
646.43,210.38,210.76,207.55
646.09,209.58,210.52,207.38
645.96,210.28,211.42,207.19
645.71,210.18,210.66,207.38
646.56,210.48,210.97,208.01
648.94,210.08,211.15,210.28
648.37,210.58,210.79,209.01
647.99,210.58,211.11,208.73
648.12,210.94,211.55,207.85
648.06,210.51,210.99,209.27
648.05,209.99,211.2,209.5
648.67,209.9,212.02,209.73
647.69,210.74,211.38,208.87
647.56,210.48,211.65,208.1
648.93,210.58,211.35,209.32
648.04,210.9,211.63,207.53
646.04,210.05,211.2,207.12
645.76,210.78,210.63,207.34
647.22,210.58,211.25,208.81
647.34,211.16,211.55,208.41
645.05,208.73,210.85,208.66
645.96,208.61,211.04,208.57
644.76,208.37,210.86,208.61
646.52,210.17,210.58,208.73
647.41,210.08,210.74,208.74
644.28,208.65,211.2,208.09
645.39,209.09,210.19,208.11
646.65,211.12,210.38,207.84
647.6,211.26,210.83,208.26
647.26,210.15,210.24,208.54
648.12,211.29,210.54,209.24
647.08,211.16,210.17,208.84
645.93,210.57,209.92,207.82
646.56,210.57,210.76,208.38
645.29,210.65,209.76,207.86
645.31,210.66,209.65,207.77
646.22,210.66,210.49,208.27
646.27,210.64,209.81,207.62
645.39,210.66,210.31,207.04
644.04,210.04,209.72,206.63
642.79,209.6,209.02,207.15
644.17,209.51,208.35,208.54
644.74,209.64,209.04,208.14
644.82,209.59,208.91,208.39
644.47,209.41,209.23,208.19
645.54,209.6,209.42,208.73
645.65,210.51,210.07,208.34
647.02,210.91,210.07,208.3
648.6,211.21,210.33,209.16
646.53,210.56,209.33,208.36
647.12,210.68,209.5,209.33
646.81,210.68,209.55,208.68
649.55,211.06,210.25,209.37
647.85,210.73,210.79,209.33
647.15,209.42,211.3,208.85
645.22,209.13,210.85,207.87
646.31,209.05,211.15,208.2
649.27,209.71,211.54,209.33
646.85,210.48,210.61,208.67
646.47,211.06,210.63,207.26
645.55,209.6,211.16,207.61
646.34,209.02,210.72,209.44
645.48,209.7,211.01,206.94
647.18,211.44,211.16,206.6
646.81,211.44,211.26,207.12
645.72,209.61,211.47,207.58
645.65,210.19,210.55,208.36
645.62,210.21,210.27,207.8
645.54,210.15,210.12,207.76
647.1,209.6,210.79,208.19
646.34,209.62,211.33,207.95
646.73,209.86,211.12,208.31
646.73,210.46,210.74,209.16
646.41,210.22,210.46,208.02
645.97,209.52,210.19,207.97
645.65,210.37,210.55,208.47
644.99,209.47,210.13,208.7
646.95,210.12,211.32,207.87
644.26,208.79,210.86,207.1
643.97,208.55,210.67,207.35
645.3,210.53,210.71,207.45
644.17,209.63,209.8,207.64
645.71,209.11,209.87,209.34
646.26,209.05,209.43,209.3
645.35,208.85,210.56,209.14
647.18,209.59,210.71,208.78
646.57,210.14,209.89,209.36
645.6,209.87,209.19,208.54
645.26,209.37,209.22,209.24
645.9,209.12,209.52,209.41
645.79,209.64,209.4,209.13
646.02,209.31,209.84,209.11
645.34,209.42,209.52,208.95
645.27,209.36,209.15,208.69
647.43,210.29,209.6,209.28
648.33,211.56,210.86,208.7
648.17,210.94,210.96,208.94
647.14,210.73,210.31,208.27
645.62,210.3,209.39,207.97
647.1,210.75,210.79,208.53
645.96,210.38,210.29,207.61
645.96,210.48,210.49,207.68
647.42,210.38,209.94,208.64
645.93,210.18,209.52,209.5
646.24,210.58,209.23,208.14
646.85,210.11,209.89,208.64
646.74,210.36,210.31,209.46
646.93,209.44,208.91,208.59
645.27,209.33,208.9,208.73
646.87,210.28,209.71,209.51
648.32,210.75,210.95,209.24
646.81,210.07,210.58,208.93
646.32,211.28,209.55,208.62
647.44,211.1,209.61,209.04
646.02,210.48,209.63,208.74
645.83,209.74,208.73,208.3
645.59,209.22,209.96,208.18
646.88,209.12,211.55,208.05
647.71,209.59,211.25,208.64
647.54,210.66,211.05,207.81
645.88,210.57,210.98,207.06
646.17,210.31,210.47,206.84
644.92,209.69,210.47,206.53
645.56,210.17,210.66,207.2
645.91,209.74,210.96,206.86
647.93,209.71,211.01,209.38
646.59,209.82,210.14,209.7
647.75,210.08,210.86,209.99
648.01,210.07,210.57,209.9
647.8,209.85,209.58,209.69
646.77,209.83,210.41,208.7
646.75,210.18,211,208.54
646.08,209.58,210.42,209.26
647.75,209.82,210.81,209.64
645.66,209.04,210.04,208.78
647.71,209.31,210.79,209.33
647.42,209.62,210.31,209.3
647.72,209.7,210.76,208.96
646.4,209.45,209.89,208.67
646.87,209.67,210.21,209.56
647.03,209.17,210.08,209.54
647.13,208.25,211.27,209.33
647.75,208.83,211.28,208.79
647.51,208.95,211.65,209.66
648.94,209.11,211.55,209.44
648.01,208.93,211.25,209.11
648.3,210.94,211.15,208.96
647.14,209.11,211.28,208.36
647.01,208.34,211.35,208.61
647.65,208.83,211.03,208.32
648.06,208.56,211.11,208.46
646.84,208.27,210.87,208.56
647.5,208.59,210.68,208.07
648.31,209.22,211.75,209.55
647.73,208.83,211.42,208.73
648.63,209.14,211.38,209.13
648.75,209.13,211.35,209.52
649.45,209.28,211.75,209.23
648.5,209.12,210.91,209.51
648.06,209.28,210.67,209.22
648.44,209.13,211.08,209.53
649.89,209.03,211.54,209.93
650.13,209.12,211.16,209.7
649.56,209.23,211.44,209.7
649.16,209.3,211.8,209.79
647.62,209.83,211.2,207.52
646.99,210.08,211.05,207.12
647.6,210.48,211.42,206.94
647.83,210.9,211.62,207.2
648.25,210.36,211.27,206.75
647.81,210.68,211.38,207.91
648.94,211.36,212.21,207.67
648.33,210.99,211.59,208.17
648.44,210.44,211.03,208.39
647,210.67,209.98,208.09
648.77,210.76,211.75,207.82
648.2,210.77,210.16,209.26
648.42,210.96,210.67,208.27
650.34,210.86,211.75,208.88
648.06,210.86,210.61,208.54
649.27,210.77,210.8,208.93
